title,filename,category,subject,prompt,negativePrompt,lora
3D Model,stormtrooper/20230906210351-3D Model.jpg,Stability's AI,Stormtrooper,"professional 3d model stormtrooper taking aim . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",""
Analog Film,stormtrooper/20230906210406-Analog Film.jpg,Stability's AI,Stormtrooper,"analog film photo stormtrooper taking aim . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",""
Anime,stormtrooper/20230906210421-Anime (SDXL).jpg,Stability's AI,Stormtrooper,"anime artwork stormtrooper taking aim . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",""
Cinematic,stormtrooper/20230906210436-Cinematic.jpg,Stability's AI,Stormtrooper,"cinematic film still stormtrooper taking aim . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured",""
Comic Book,stormtrooper/20230906210451-Comic Book.jpg,Stability's AI,Stormtrooper,"comic stormtrooper taking aim . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",""
Craft Clay,stormtrooper/20230906210506-Craft Clay.jpg,Stability's AI,Stormtrooper,"play-doh style stormtrooper taking aim . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",""
Digital Art,stormtrooper/20230906210521-Digital Art.jpg,Stability's AI,Stormtrooper,"concept art stormtrooper taking aim . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",""
Enhance,stormtrooper/20230906210537-Enhance.jpg,Stability's AI,Stormtrooper,"breathtaking stormtrooper taking aim . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",""
Fantasy Art,stormtrooper/20230906210552-Fantasy Art.jpg,Stability's AI,Stormtrooper,"ethereal fantasy concept art of  stormtrooper taking aim . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",""
Isometric Style,stormtrooper/20230906210607-Isometric Style.jpg,Stability's AI,Stormtrooper,"isometric style stormtrooper taking aim . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",""
Line Art,stormtrooper/20230906210622-Line Art.jpg,Stability's AI,Stormtrooper,"line art drawing stormtrooper taking aim . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",""
Lowpoly,stormtrooper/20230906210638-Lowpoly.jpg,Stability's AI,Stormtrooper,"low-poly style stormtrooper taking aim . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",""
Neon Punk,stormtrooper/20230906210655-Neon Punk.jpg,Stability's AI,Stormtrooper,"neonpunk style stormtrooper taking aim . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",""
Origami,stormtrooper/20230906210711-Origami.jpg,Stability's AI,Stormtrooper,"origami style stormtrooper taking aim . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",""
Photographic,stormtrooper/20230906210727-Photographic.jpg,Stability's AI,Stormtrooper,"cinematic photo stormtrooper taking aim . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",""
Pixel Art,stormtrooper/20230906210743-Pixel Art.jpg,Stability's AI,Stormtrooper,"pixel-art stormtrooper taking aim . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",""
Texture,stormtrooper/20230906210758-Texture.jpg,Stability's AI,Stormtrooper,"texture stormtrooper taking aim top down close-up","ugly, deformed, noisy, blurry",""
John Berkey,stormtrooper/20230906213938-John Berkey.jpg,Artstyle,Stormtrooper,"stormtrooper taking aim, <lora:John Berkey Style:1> John Berkey Style page","","John Berkey Style"
Folk Art,stormtrooper/20230906213959-Folk Art.jpg,Artstyle,Stormtrooper,"stormtrooper taking aim, <lora:Folk Art:1> Folk Art page","","Folk Art"
Terrible FanArt,stormtrooper/20230906214017-Terrible FanArt.jpg,Artstyle,Stormtrooper,"<lora:PE_TerribleFanArtV1:0.8> PETerribleFanArt, badly drawn, terrible drawing, ugly, creepy, stormtrooper taking aim","","PE Shitty FanArt"
Dali,stormtrooper/20230906214045-Dali.jpg,Artstyle,Stormtrooper,"stormtrooper taking aim, <lora:d4lixl:1> d4lixl","","Salvador Dali SDXL 1.0 art style lora"
Base,stormtrooper/stormtrooper.jpg,No style,Stormtrooper,"stormtrooper taking aim","",""
